,id,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_valle,consumo_llano,consumo_punta,total_actual,total_factura,coste_valle,coste_llano,coste_punta
39,39,Acis Energia,Ecoluz Free,0.1068701,0.0439183,0.0081915,0.000527,0.002752,0.027963,0.076974,0.168451,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,76.565762753436,16.8451,16.8451,16.8451
40,40,Estabanell Energia,Dinámico sin horarios,0.084676,0.033248,0.0081915,0.000527,0.002752,0.027963,0.076974,0.1589,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,69.49105759596,15.89,15.89,15.89
41,41,Iberdrola,Plan Online,0.0958904,0.0410959,0.0081915,0.000527,0.002752,0.027963,0.076974,0.10942,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,54.510238522377,10.942,10.942,10.942
42,42,Iberdrola,Plan Mas Ahorro,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.143,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,67.716507875412,14.299999999999999,14.299999999999999,14.299999999999999
43,43,Iberdrola,Plan Estable Verde,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.155,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,71.87886387541202,15.5,15.5,15.5
44,44,Iberdrola,Plan Estable,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.135,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,64.941603875412,13.5,13.5,13.5
45,45,Mas Movil Energia,Precio Fijo,0.1189,0.052,0.0081915,0.000527,0.002752,0.027963,0.076974,0.128,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,64.836877611,12.8,12.8,12.8
46,46,Energya VM,Formula fija 24 horas,0.090411,0.0465754,0.0081915,0.000527,0.002752,0.027963,0.076974,0.09975,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,51.156084758856004,9.975000000000001,9.975000000000001,9.975000000000001
47,47,Energya VM,Formula fija 24 horas asistencia,0.090411,0.0465754,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0931,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,48.849445808856004,9.31,9.31,9.31
48,48,Gesternova,Tarifa facil,0.044809,0.044809,0.0081915,0.000527,0.002752,0.027963,0.076974,0.156889,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,65.55347575722,15.6889,15.6889,15.6889
