id;compania;tarifa;tp_punta_euros/kwh/dia;tp_valle_euros/kwh/dia;peaje_tran_dist_pot_punta;peaje_tran_dist_pot_valle;peaje_ener_valle_tdc;peaje_ener_llano_tdc;peaje_ener_punta_tdc;termino_consumo_euros/kwh/hora;tc_valle_euros/kwh/hora;tc_llano_euros/kwh/hora;tc_punta_euros/kwh/hora;tc_8h_euros/kwh/hora;tc_16h_euros/kwh/hora;mercado;tipo;otros;alquiler_equipo_euros/dia;impuesto_actual;bono_social_euro/dia;margen_euros/kWh/dia
90;Iberdrola;Plan Online 3 Periodos;0.0821918;0.0136986;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.08366;0.113646;0.160971;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
91;E Distribucion;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
92;Energya VM;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
93;Energya VM;Formula 3 periodos;0.079177;0.0027288;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.09981;0.1188;0.1458;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
94;Gesternova;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
95;Gesternova;Tarifa Bateria Virtual (solar);0.060069;0.060069;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.12507;0.15136;0.20238;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
96;Gesternova;Tarifa horas;0.077573;0.010844;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.139449;0.174752;0.233932;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
97;Xenera ;A vaquiña contigo;0.070357;0.070357;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.074988;0.134225;0.187164;0;0;Libre;TRAMOS;3;0.026557;5.11;0;
98;Xenera ;A vaquina en casa;0.070357;0.070357;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.12507;0.15136;0.168687;0;0;Libre;TRAMOS;3;0.026557;5.11;0;
99;Iris Energia;Tarifa estable;0.0873744;0.0204626;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.149402;0.164994;0.220819;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
100;Eres Energia;Dos punto cero;0.0793;0.0196;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.117;0.1475;0.2045;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
101;Fortuluz;Precio indexado fijo;0.087955;0.013803;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.105167;0.129574;0.175753;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
102;Fortuluz;A contraluz;0.096962;0.021832;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.138047;0.182545;0.231757;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
103;Aduriz Energia;coste + fija;0.0800388;0.0031407;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.093282;0.129895;0.179284;0;0;Libre;TRAMOS;3.72;0.026557;5.11;0;
